date_posted,company,job_type,expected_start_date,salary_range,job_description
2025-08-08,JPMorgan Chase,,,"$167,406 - $167,406","Open source is a critical component to the software development lifecycle (SDLC) at JPMorganChase. At JPMC we build with open source, engage with open source forums and communities, and contribute open source code to the upstream repositories of projects we consume. As a Product Manager in the Office of CTO you are an integral part of the team that innovates new product offerings and leads the end-to-end life cycle that encompasses our open source software use at the firm. As a core leader, you…"
2026-01-15,Realtech Services,,,"$120,849 - $120,849","Job title: Senior Java Developer (Trading Experience) Work location: 1271 NYC Work schedule: Hybrid (50%) Required years of experience: min 10 years Interview Process: Inperson interview for level 2 (Locals required) Job Description: Here are some criteria I am looking for. • 100% hands-on Front Office Java Developer (with python is a plus), with good understanding of backend and front-end technologies (e.g. html, css, javascript) (with vue.js is a plus) • Good understanding of equities and equ…"
2025-06-04,Benton Partners,,,"$150,000 - $200,000","Ben Singleton - head of data eng Travis Dunlap - some parallels to peters role. different in that its focused on python package building and tool buildign than pipelines, ncie to have someone w more swe exp than a traditional pipeline building data eng tools - around time series dat and statical related things Jr Enginner someone whose a DS who wants to be an engineer Priority: python Data Sci / stats or time series data not technical standpoint - working directly for building tools for interna…"
2025-10-24,JPMorganChase,,full_time,"$171,000 - $260,000","Description Be an integral part of an agile team that's constantly pushing the envelope to enhance, build, and deliver top-notch technology products. As a Senior Lead Software Engineer at JPMorgan Chase within the Commercial & Investment Bank Markets Data Lake Platform Engineering team, you will be an essential member of an agile team dedicated to enhancing, building, and delivering trusted market-leading technology products in a secure, stable, and scalable manner. You will drive significant b…"
2025-09-27,Who We Are Provenir,,,"$110,455 - $110,455","Who We Are Provenir is a global fintech company with offices across North America, the UK, and Singapore. Provenir helps fintechs, financial institutions, and payment providers make smarter decisions, faster. We are passionate about technology and empowering businesses to become industry leaders. As a leading provider of decisioning and analytics products for financial services and other industries, we empower businesses to create digital-first decisioning solutions that drive business growth. …"
2026-01-26,Clearwater Analytics,,full_time,"$177,724 - $177,724","About Clearwater Analytics® Clearwater Analytics® (CWAN) is a global SaaS solution provider for many markets in investment accounting, analytics and risk management. Clearwater recently acquired Beacon Platform which empowers financial institutions to develop and deploy advanced risk-management solutions, increase transparency and efficiency. The platform consists of our Trading and Risk Management System (TRMS) Suite for cross-asset management of trades, positions and risk, and Trading and Ris…"
2026-01-14,Fidelity,,full_time,"$126,000 - $255,000","Job Description: The Role The Systematic Liquid Alternatives Quant Development team within Fidelity’s Asset Management Technology group is seeking an experienced Director of Quantitative Development to design and deliver high-impact technology solutions for systematic investment strategies. This senior individual contributor role is embedded within the quantitative research team, enabling close collaboration with researchers and portfolio managers to prototype and implement robust, scalable sys…"
2025-07-31,Parker B Associates,permanent,full_time,"$170,000 - $250,000","Senior Machine Learning Engineer New York Permanent $170,000 – $250,000 Our client is a global Insurance business looking for a Senior Machine Learning Engineer to join the team permanently. Wouldn’t it be great to work on AI projects that actually have a big impact? This opportunity is to build advanced insurance capabilities across the enterprise and develop scalable AI solutions. · Do you want to work with a world-class Data & AI team shaping the future of insurance? · Would you like to work…"
2025-09-29,Anthropic,,,"$320,000 - $485,000","About Anthropic Anthropic’s mission is to create reliable, interpretable, and steerable AI systems. We want AI to be safe and beneficial for our users and for society as a whole. Our team is a quickly growing group of committed researchers, engineers, policy experts, and business leaders working together to build beneficial AI systems. About the role Join Anthropic's Languages Team as a Python foundational member shaping how Python is used across one of the world's fastest-growing AI companies.…"
2025-10-19,Amazon,,,"$177,615 - $177,615","Description The Conversational Shopping team is looking for a Language Engineer to drive efficiencies and innovation in its efforts to deliver a seamless, fluent, and engaging experience for AI-assisted shopping. This is an opportunity to join the high-performing team behind Amazon's Generative AI shopping initiatives such as Rufus AI, Amazon's Conversational Shopping assistant. Our objective is to make it easy for customers worldwide to find and discover the best products, meet their personali…"
2025-04-19,Bank of America,,full_time,"$88,800 - $145,000","Job Description: At Bank of America, we are guided by a common purpose to help make financial lives better through the power of every connection. We do this by driving Responsible Growth and delivering for our clients, teammates, communities and shareholders every day. Being a Great Place to Work is core to how we drive Responsible Growth. This includes our commitment to being an inclusive workplace, attracting and developing exceptional talent, supporting our teammates’ physical, emotional, an…"
2026-02-02,Axelon Services Corporation,,,"$85,933 - $85,933","Title: Infrastructure Engineer Location: Jersey City NJ Shift: 8AM - 5PM | Pay: 80 - 85/hr Responsibilities: Provide 24/7 and (when necessary) weekend support for systems involved in the architecture. Function as IBM Websphere MQ administrator . Install MQ environments on Windows and Linux. Create and configure Queue Managers, channels, queues, and other MQ objects. Perform the backup and restore of Queue Managers and related objects. Recover damaged MQ installations and/or Queue Managers. Upgr…"
2025-11-22,Axelon Services Corporation,,,"$87,538 - $87,538","Title : Infrastructure Engineer Location : Jersey City NJ Shift : 8AM - 5PM Pay : $80 - 85/hr on 12months Contract with possible extension Responsibilities: Provide 24/7 and (when necessary) weekend support for systems involved in the architecture. Function as IBM Websphere MQ administrator . Install MQ environments on Windows and Linux. Create and configure Queue Managers, channels, queues, and other MQ objects. Perform the backup and restore of Queue Managers and related objects. Recover dam…"
2026-01-19,Numentica LLC,contract,,"$181,907 - $181,907","J ob Description City: Calabasas, CA/ Las Vegas, NV - Onsite 4 days a week, Duration: 6 months Contract to Hire, C2C or W2 during contract Work Authorization: Green Card or USC only, no H1Bs F1s or EADs. Qualifications : Bachelor’s degree in a related technical field required. 7 years of data engineering or platform development experience. Hands-on experience building Databricks Apps in production. Strong Python, PySpark, and SQL skills. Experience with Azure cloud data services. Familiarity wi…"
2025-11-04,Insight Global,,,"$116,943 - $116,943",Job Description Insight Global is looking for an AI Engineer to join one of the world's leading financial institutions on a remote basis working EST hours. This person will be joining the Machine Learning and Artificial Intelligence team within their Enterprise Technology Operations group. This team is looking to build an Agentic AI solution that automates production support across the entire bank. The team is looking for AI engineers that have taken an existing AI Model and within their organi…
2026-02-03,Business Needs Inc,,,"$131,316 - $131,316","KEY RESPONSIBILITIES Design, build, and maintain modern single-page web applications using React (JavaScript/TypeScript) and Retool for internal tooling and rapid prototyping. Develop backend APIs and services using Node.js with TypeScript, JavaScript, and Java. Collaborate with team members, product managers, and designers to deliver new features and improvements. Integrate with and manage relational databases to ensure data accuracy, performance, and scalability. Write clean, maintainable cod…"
2025-06-26,Horizon Media,,full_time,"$180,000 - $230,000","Job Description Horizon Media , founded in 1989 by Bill Koenigsberg, is recognized as one of the most innovative marketing and advertising firms. We are headquartered in New York City, with offices in Los Angeles and Toronto. A leader in driving business solutions for marketers, Horizon is known for its highly personal approach to client service. Renowned for its incredible culture, Horizon is consistently named to all the prestigious annual Best Places to Work lists published by Fortune, AdAge…"
2025-08-11,Savant Bio,,full_time,"$130,000 - $180,000","About Us: Savant is transforming how healthcare and life sciences organizations unlock the value trapped in unstructured medical data. Our platform combines cutting-edge large language models (LLMs) with domain-specific quality controls to convert free-text clinical records into structured, analysis-ready data — efficiently, accurately, and at scale. We work with leading institutions across healthcare, life sciences, and research, supporting faster studies, sharper insights, and better care. Ba…"
2025-11-12,JPMorgan Chase,,,"$281,275 - $281,275","Our team is responsible for pushing innovations in the Payments space, which is a cornerstone of JPMorgan Chase business. Payments are at the center of the global economy, connecting businesses and consumers around the world. In recent years, the payments industry has experienced rapid innovation with new technologies entering the market. Working in payments ML means being at the forefront of these changes and a potential for a meaningful and lasting impact on global finance. As a Machine Learn…"
2026-01-09,Savant Bio,permanent,full_time,"$130,000 - $180,000","About Us: Savant is transforming how healthcare and life sciences organizations unlock the value trapped in unstructured medical data. Our platform combines cutting-edge large language models (LLMs) with domain-specific quality controls to convert free-text clinical records into structured, analysis-ready data — efficiently, accurately, and at scale. We work with leading institutions across healthcare, life sciences, and research, supporting faster studies, sharper insights, and better care. Ba…"
2025-12-21,JPMorgan Chase,,,"$160,213 - $160,213","J.P. Morgan Asset & Wealth Management is committed to providing exceptional service to our clients and business partners. The Client Skills Training team provides training and equips professionals of all levels with the tools they need to set goals, measure performance benchmarks, and engage in personal development programs, ensuring they are constantly challenged and their career expectations fulfilled. We recognize the importance of continuous professional development for all our AWM professi…"
2025-05-29,Point72,,,"$250,000 - $300,000","ABOUT PROPRIETARY RESEARCH On our proprietary research team—Market Intelligence—you’ll partner with our Investment Professionals and Compliance team to uncover insights about companies, industries, and the broader economy through deep fundamental research and applying data science and engineering techniques to alternative data sets. You’ll work alongside a talented team with diverse skills, backgrounds, and perspectives. Our industry researchers, product managers, and data scientists and engine…"
2025-12-22,Point72,,,"$160,000 - $220,000","ABOUT PROPRIETARY RESEARCH On our proprietary research team—Market Intelligence—you’ll partner with our investment professionals and Compliance team to uncover insights about companies, industries, and the broader economy through deep fundamental research and applying data science and engineering techniques to alternative data sets. You’ll work alongside a talented team with diverse skills, backgrounds, and perspectives. Our researchers, product managers, and data scientists and engineers work …"
2025-09-21,Hudson River Trading,,,"$231,761 - $231,761","Working as a coder at Hudson River Trading (HRT) means working on a small, highly productive, and efficient team. You may see ""trading"" in our name and assume you'll be relegated to some dark corner to code for the ""business,"" but that could not be further from the truth! At HRT, an automated trading firm based in NYC, the code you write *is* our business, so it is everyone's job to make sure our developers have everything they need to do their jobs well. As a member of the AI Tools team, you w…"
2025-12-27,Royal Bank of Canada,,full_time,"$160,522 - $160,522","Job Description Responsible for risk analysis and independent oversight of credit quality of Collateralized Loan Obligations (CLO) Warehouse Lending and Securitization portfolio. Oversee all aspects of CLO Warehousing / Securitization credit quality including internal and regulatory compliance with a key focus on CLO Warehousing (Broadly Syndicated Loans, Middle Market Loans), CLO Credit Underwriting, and Securitization. Establishing and maintaining internal controls that effectively manage ris…"
2026-01-15,TheStaffed,contract,,"$106,605 - $106,605","Our client, a top-tier Management Consulting firm, is seeking a Senior Python and Snowflake Developer to design, build, and optimize scalable data pipelines, develop robust backend services, implement Snowflake data models, and drive end-to-end data engineering solutions. The role involves collaborating with cross-functional teams, enhancing data quality, improving performance, and ensuring secure, efficient delivery of data products across complex business environments Requirements Advanced SQ…"
2026-01-15,Humana,,,"$180,097 - $180,097","Become a part of our caring community and help us put health first We are seeking Lead AI Engineers who has extensive hands-on experience developing Python-based applications intended for use by others, beyond just building models or conducting data analysis. The traditional candidate will have a strong background in both traditional machine learning and emerging generative AI technologies. As a Lead AI Engineer, you will play a key role in developing and deploying innovative AI-powered solutio…"
2026-01-06,"Brains Workgroup, Inc.",,,"$133,010 - $133,010","Our client, a major bank in New York City, is looking for hands-on Java Developer - Front Office This role is hybrid commute (2/3 days office/home) This is 6-12 months contract with possible extensions or option to hire Must be authorized to work for ANY employer in US - NO H1 Visa support for this role Rate: $95-103/h on W2 DOE, possible C2C as well Senior Java Developer - Front Office Job Description: 100% hands-on Front Office Java Developer (with Python as a plus), with good understanding …"
2026-02-02,Point72,contract,,"$100,347 - $100,347","ABOUT PROPRIETARY RESEARCH On our proprietary research team—Market Intelligence—you’ll partner with our Investment Professionals and Compliance to uncover insights about companies, industries, and the broader economy through deep fundamental research and applying data science and engineering techniques to alternative data sets. You’ll work alongside a talented team with diverse skills, backgrounds, and perspectives. Our industry researchers, product managers, and data scientists and engineers w…"
2025-10-29,Channel Factory,,full_time,"$130,000 - $150,000","Channel Factory provides intelligent marketing solutions for the next generation of contextual safety, suitability, and performance for brands and agencies. Our platform helps marketers implement, automate, and scale their marketing programs across the world’s largest video library, YouTube and emerging growth channels. We sit at the intersection of marketing and suitability and have a mission of enabling the world’s top brands to consciously connect with the right audience in the right context…"
2026-01-16,Realtech Services,,,"$123,026 - $123,026","Job Role: Senior Software Developer( Java) Location: NYC, NY (Hybrid) Job Description: Here are some criteria I am looking for. 100% hands-on Front Office Java Developer (with python is a plus), with good understanding of backend and front-end technologies (e.g. html, css, javascript) (with vue.js is a plus) Good understanding of equities and equity derivatives product; trading workflow (with FIX protocol) Experience with developing trading platforms (For example: Order Management system, Stock…"
2026-01-17,Skidmore Owings & Merrill,,full_time,"$140,000 - $160,000","At SOM, we are a collective committed to shaping a better future for our clients, communities and planet. We aspire to create the most sustainable, impactful work through creative, interdisciplinary teams with all the resources and diversity of a global fi rm. We value those who are passionate about excellence, innovation, integrity, inclusivity, and collaboration. Together we can achieve great things. Success at SOM Means Ideas: Our highest aspirations go beyond known solutions and models. We …"
2025-10-21,Man Group,,,"$141,330 - $141,330","About Man Group Man Group is a global alternative investment management firm focused on pursuing outperformance for sophisticated clients via our Systematic, Discretionary and Solutions offerings. Powered by talent and advanced technology, our single and multi-manager investment strategies are underpinned by deep research and span public and private markets, across all major asset classes, with a significant focus on alternatives. Man Group takes a partnership approach to working with clients, …"
