date_posted,company,job_type,expected_start_date,salary_range,job_description
2026-01-30,Akaasa Technologies,,,"$153,036 - $153,036","Senior Python Developer (LLM & Azure) Location: New York City 4 days onsite (Final round onsite mandatory) Only Local Candidates Need very senior profile. Job Summary: We are seeking a Senior Python Developer with strong experience in Large Language Models (LLMs) and Azure cloud to design, build, and deploy AI-powered applications and scalable backend systems. The ideal candidate will have deep hands-on expertise in Python development, Azure services, and productionizing GenAI/LLM solutions. Re…"
2026-01-25,SelektIT,,,"$116,622 - $116,622","Senior Python Developer with ML Expertise Are you a passionate Python developer with a knack for machine learning? Selekit is on the hunt for a talented individual to join our innovative team remotely from anywhere in the USA. We're building cutting-edge solutions that drive real impact, and we need your expertise to take our ML projects to the next level! Role Overview: Develop and implement machine learning models using Python to solve complex problems. Collaborate with cross-functional teams…"
2025-12-11,Bright Vision Technologies,permanent,,"$99,399 - $99,399","Position: Senior Software Engineer / Python Developer Location: Remote Duration: Permanent Required Skills CS fundamentals (data structure and algorithms) Deep knowledge of modern web applications Expertise in Python Proficiency in JavaScript/TypeScript/React Good knowledge of MongoDB or SQL Proficiency with Git and Docker (Kubernetes is a plus) Excellent problem-solving, troubleshooting, and debugging skills Strong communication and collaboration skills Preferred or Nice-to-have Skills Experie…"
2026-01-30,ION Group,,full_time,"$140,000 - $210,000","The Role Lab49 is seeking a skilled Python Developer to work on complex and challenging projects that drive transformative change for top-tier financial services clients. The role involves building next-generation financial systems, developing high-quality, scalable microservices, and creating systems to process various data streams using cutting-edge technologies. Operating in an Agile environment, this position requires strong expertise in Python, experience with market and credit counterpart…"
2026-01-01,Colony Capital,,full_time,"$197,326 - $197,326","Gelfand, Rennert & Feldman is seeking a Senior Python Developer to join our team of dedicated professionals. This is a remote position but this candidate should be based and operating in the Eastern Time Zone (EST). They will be collaborating with teams across all (10) Gelfand, Rennert & Feldman offices. The Senior Python Developer is responsible for assisting the Firm’s Royalty Data Intelligence (“RDI”) team with taking complex data issues facing the business and simplifying them through autom…"
2026-02-01,Morgan Stanley,,full_time,"$120,000 - $165,000","About Us The Firm Market Risk Technology Team develops software to measure and monitor Market Risk and Capital for the Firm's global portfolio. We are responsible for designing and implementing technology solutions that calculate and assess the Market Risk of the Firm. Our systems support daily risk simulations and analytics that estimate potential losses across different time horizons. We work closely with Risk Managers, Market Risk Analytics teams, Senior management, and various regulatory bo…"
2025-11-19,S3,contract,full_time,"$208,000 - $228,800","Job Description STRATEGIC STAFFING SOLUTIONS (S3) HAS A JOB OPENING! This is a W2 opportunity. No CORP TO CORP please Title: Lead Python Developer/Architect Location: New York, NY/Iselin, NJ Role Type: Permanent Hire Schedule: On-site This position is hybrid, requiring 5 days in the office over a 2-week period, based in the New York/New Jersey area. Top Skills: Python, SQL, GraphQL, and Databricks as must-have skills. Python 8 years, SQL, Graph - all 3 are must-haves; Leadership is needed. Job …"
2025-11-14,Prolific,,,"$75,792 - $75,792","AI Trainer - Advanced Python Developers About Prolific Prolific is not just another player in the AI space – we are building the biggest pool of quality human data in the world. Over 35,000 AI developers, researchers, and organizations use Prolific to gather data from paid study participants with a wide variety of experiences, knowledge, and skills. The role We’re looking for Python Developers to help train and evaluate cutting-edge AI models. If you have the necessary experience, we’ll send yo…"
2026-01-31,Neuberger Berman,,full_time,"$90,000 - $110,000","We're looking for a Full Stack Python Developer to join our Equities Technology team. You'll work alongside experienced engineers to design, develop, and deploy scalable applications that support our equities investment strategies. This is an excellent opportunity to grow across the stack at the intersection of finance and technology. Key Responsibilities Design, develop, and enhance applications that support trading, portfolio management, and analytics for equities investment teams. Build REST…"
2026-02-02,Mindrift,contract,part_time,"$102,946 - $102,946","Please submit your CV in English and indicate your level of English proficiency. Mindrift connects specialists with project-based AI opportunities for leading tech companies, focused on testing, evaluating, and improving AI systems. Participation is project-based, not permanent employment. What this opportunity involves While each project involves unique tasks, contributors may: Coordinate cross-language migration workflows by analyzing C/Rust/Go codebases to create behavioral tests and migrati…"
